favourites,summary,title,url
105 favorites,"Amsterdam drained a canal and put everything they found online, piece by piece, chronologically, and you can see it all, from guns to",Under Amsterdam,https://www.metafilter.com/174989/Under-Amsterdam
55 favorites,"The Norwegian Consumer Council ( Forbrukerrådet ), a government agency that promotes and protects the rights of consumers, has published a report in English",Deceived by Design,https://www.metafilter.com/174991/Deceived-by-Design
42 favorites,"Alice Bolin 's Dead Girls: Essays on Surviving an American Obsession ""attempts to investigate why we are so obsessed with grim images of beautiful women and their overwhelming influence on our culture—from the art that we consume to the ways in which we view living women as they express their own motives and determinations."" [ Esquire ]",Dead Girls,https://www.metafilter.com/174993/Dead-Girls
41 favorites,"In the 1980s, the BBC funded The Computer Literacy Project. They commissioned a home computer (the BBC Micro) and software, and broadcast many features. These (267 of them) are online . See Chris Serles, Gill Nevill, Ian McNaught Davis, Bernard Falk, Lesley Judd, Fred Harris and others and grapple with topics such as programming in BASIC , the Sinclair ZX80 , how crap much educational software is, simulating the British economy , robots making harpsichords using Pascal , the ridiculous idea of connecting computers around the world , and what should happen if machines can do things better than people . There's also a project history , a timeline and 166 BBC Micro Software programs . Some materials also on archive.org","""Um..."" {taps chunky BBC Micro keys} ""180 ... GOTO 30 ... and ... RUN!""",https://www.metafilter.com/174992/Um-taps-chunky-BBC-Micro-keys-180-GOTO-30-and-RUN
47 favorites (37 in the past 24 hours),,SOS as the Titanic Is Dying,https://www.metafilter.com/174983/SOS-as-the-Titanic-Is-Dying
37 favorites,"With US Supreme Court centrist Justice Kennedy's recent decision to retire , Donald Trump now gets a second Supreme Court pick, one that may reshape the SC (and the country) for decades . Moments after the announcement, Mitch McConnell promised a swift confirmation of Trump's nominee before the midterm elections. This appears likely: all Senate Republicans are likely to go along with Trump's conservative nominee even if they grumble about it, while moderate Democrats may break party ranks to also support Trump's nominee .","Now that Kennedy's retiring, Trump gets another SC pick",https://www.metafilter.com/175001/Now-that-Kennedys-retiring-Trump-gets-another-SC-pick
34 favorites (33 in the past 24 hours),"The fact that they never did suggests that the group’s members—400 prominent, influential figures in academia, media, and publishing—would rather keep trans people at a safe, anthropological remove where they can talk about trans people without speaking to trans people directly. Harron Walker: Private Messages Reveal the Cis Journalist Groupthink Behind Trans Media Narratives",Complaining about groupthink in your own fan forum is peak 2018,https://www.metafilter.com/174985/Complaining-about-groupthink-in-your-own-fan-forum-is-peak-2018
25 favorites,"After 45 years, five books, thousands of columns, and appearances in more than 100 MeFi FPPs, The Straight Dope has published its last column .",It Took a Little Longer Than They Thought,https://www.metafilter.com/175000/It-Took-a-Little-Longer-Than-They-Thought
24 favorites,Magic for artists: Part 1 Intro ;,The Art in the art,https://www.metafilter.com/174996/The-Art-in-the-art
23 favorites,"So you have all this cheese lying around, and you don't fancy eating it. Or maybe, if you're in the US, you're facing down the largest cheese stockpile in a century. What can you do?
Suggestions include paint , plastics , jewelry , glue , fabric , and so much more. Turns out cheese is pretty useful after all.","your move, sir",https://www.metafilter.com/175005/your-move-sir
20 favorites,Be Excellent To Each Other: Virtue Signalling in Bill & Ted’s Excellent Adventure,In Pursuit of Excellence,https://www.metafilter.com/174995/In-Pursuit-of-Excellence
18 favorites,"Pink Triangles Rising (yt link) is a short  1983 documentary by Dan Dinello and Tom Corboy about the 1982 Chicago Pride Parade, which saw its attendance surge from past events fueled by queer people and allies showing up to counter the Nazi rally being held near the parade route.",LGBTQI Hate Illinois Nazis,https://www.metafilter.com/174997/LGBTQI-Hate-Illinois-Nazis
17 favorites,,Live alone and like it,https://www.metafilter.com/174999/Live-alone-and-like-it
17 favorites,,"Students raise £1500 to send ""jolliest"" cleaner to Jamaica",https://www.metafilter.com/175002/Students-raise-1500-to-send-jolliest-cleaner-to-Jamaica
15 favorites,"Harlan Ellison , one of the greatest ever speculative fiction writers, died today at the age of 84 .",Possibly the most contentious person on Earth,https://www.metafilter.com/175010/Possibly-the-most-contentious-person-on-Earth
21 favorites (14 in the past 24 hours),,Seeing Pain,https://www.metafilter.com/174984/Seeing-Pain
13 favorites,The World Cup 2018 moves into the knockout round of 16.,don't mention the VAR,https://www.metafilter.com/175006/dont-mention-the-VAR
12 favorites,,A message from women everywhere,https://www.metafilter.com/174990/A-message-from-women-everywhere
40 favorites (11 in the past 24 hours),"Paul McCartney on Carpool Karaoke is television at its best. Not only does it have all the happiness and goofiness you expect Corden to deliver, but this McCartney karaoke is also unexpectedly tender, touching and meaningful.",You can drive my car,https://www.metafilter.com/174966/You-can-drive-my-car
11 favorites,,Nighthawk in flight,https://www.metafilter.com/174987/Nighthawk-in-flight
