favourites,summary,title,url
70 favorites,,"No one ever regretted taking care of the person they loved, at any price",https://www.metafilter.com/174822/No-one-ever-regretted-taking-care-of-the-person-they-loved-at-any-price
38 favorites,"""The World of Playing Cards is a living encyclopaedia of the history and visual art of playing cards."" Follow playing card history or see notable designs ; or browse by way of countries of origin or card manufacturers . There is also a blog and a shop . (Previously: i , ii",♠ ♥ ♣ ♦,https://www.metafilter.com/174812/---
80 favorites (31 in the past 24 hours),Thrillist,We've almost certainly left off your personal favorite.,https://www.metafilter.com/174804/Weve-almost-certainly-left-off-your-personal-favorite
31 favorites,,We have to articulate ourselves. Otherwise we would be cows in the field,https://www.metafilter.com/174818/We-have-to-articulate-ourselves-Otherwise-we-would-be-cows-in-the-field
56 favorites (29 in the past 24 hours),,Marc Daniels joins in on his daughter's dance,https://www.metafilter.com/174809/Marc-Daniels-joins-in-on-his-daughters-dance
70 favorites (28 in the past 24 hours),"On June 19th, 1865, Major General Gordon Granger of the United States Army arrived in Galveston, Texas . One of the orders he issued was GENERAL ORDER #3 : The people are informed that in accordance with a Proclamation from the Executive of the United States, all slaves are free. This involves an absolute equality of personal rights and rights of property, between former masters and slaves, and the connection heretofore existing between them, become that between employer and hired labor. What Is Juneteenth? , Henry Louis Gates, Jr. When Maj. Gen. Gordon Granger issued the above order, he had no idea that, in establishing the Union Army’s authority over the people of Texas, he was also establishing the basis for a holiday, “Juneteenth” (“June” plus “nineteenth”), today the most popular annual celebration of emancipation from slavery in the United States. After all, by the time Granger assumed command of the Department of Texas, the Confederate capital in Richmond had fallen; the “Executive” to whom he referred, President Lincoln, was dead; and the 13th Amendment abolishing slavery was well on its way to ratification.

But Granger wasn’t just a few months late. The Emancipation Proclamation itself, ending slavery in the Confederacy (at least on paper), had taken effect two-and-a-half years before, and in the interim, close to 200,000 black men had enlisted in the fight. So, formalities aside, wasn’t it all over, literally, but the shouting?",Juneteenth,https://www.metafilter.com/174810/Juneteenth
27 favorites,,First Impressions,https://www.metafilter.com/174815/First-Impressions
22 favorites,This French Bulldog Is A Foster Dad To ASPCA Kittens,A VERY GOOD BOY,https://www.metafilter.com/174816/A-VERY-GOOD-BOY
18 favorites,"Why are game companies so afraid of the politics in their games? [Polygon] “Game publishers are lathering their productions with the stark imagery of modern political divisions, while at the same time denying any topical intent. Their strategy, according to industry sources ranging from developers to publicists, is to profit from emotive societal divisions, while ducking difficult conversations about what their works might signify. Their games garner publicity and a sense of cultural relevance, but the companies avoid the challenge and expense of controversy. In the words of one senior game industry publicist I spoke to, under conditions of anonymity: “It’s bullshit. They want to have their cake and eat it too.” In the past few years, we’ve seen repeated examples of the quasi-political AAA game. ”",“easier to take the line that the work is open to many interpretations”,https://www.metafilter.com/174820/easier-to-take-the-line-that-the-work-is-open-to-many-interpretations
16 favorites,,Don't accessorize with horned helmets,https://www.metafilter.com/174819/Dont-accessorize-with-horned-helmets
15 favorites,,After the flood,https://www.metafilter.com/174823/After-the-flood
14 favorites,,Doodles into buildings.,https://www.metafilter.com/174813/Doodles-into-buildings
13 favorites,"This is Kellar. He is a three-year-old English Springer, and he was born completely blind. And this is Kellar playing fetch.","""The process took about a week for the basic commands."" 🐶 🎾",https://www.metafilter.com/174827/The-process-took-about-a-week-for-the-basic-commands--
90 favorites (12 in the past 24 hours),,A story about a shower curtain,https://www.metafilter.com/174793/A-story-about-a-shower-curtain
25 favorites (12 in the past 24 hours),"This Sounds Serious is a true crime podcast where Minnesota public radio host Gwen Radford investigates the case of Chuck Brondstadt, an Orlando weatherman who drowned in his own waterbed, possibly at the hands of his twin brother Daniel. 

It's brought to you in part by Vancouver media personality Dave Shumka , and the team behind CBC Radio's popular newsmagazine This Is That .","""Oh my brother's sooooooooo dead!""",https://www.metafilter.com/174807/Oh-my-brothers-sooooooooo-dead
11 favorites,"Short fiction and poetry by Déwé Gorodé and political writings by Jean-Marie Tjibaou offer intimate views of New Caledonia unavailable in a political history . Memoirs and biographies convey the stories of a man from the Solomon Islands and a Japanese woman who married an Australian soldier in the years following WWII, plus women's narratives of war and peace on Bougainville and numerous aspects of the Indo-Fijian experience . These are just a few intriguing books digitized as PDFs",Pacific Studies PDFs,https://www.metafilter.com/174824/Pacific-Studies-PDFs
20 favorites (9 in the past 24 hours),,We're gonna need it.,https://www.metafilter.com/174808/Were-gonna-need-it
112 favorites (8 in the past 24 hours),Do you feel low? Worn down? Discouraged? Maybe you need a break. Maybe you need a lot of breaks. Here are 25 ways to feel happier in the next 5 minutes because we all could use a little happiness. No good? Perhaps 14 ways to get through tough times is a better fit.,Feeling Low? Time to Get Happy,https://www.metafilter.com/174779/Feeling-Low-Time-to-Get-Happy
49 favorites (7 in the past 24 hours),,On the otter of sobriety,https://www.metafilter.com/174796/On-the-otter-of-sobriety
38 favorites (7 in the past 24 hours),"Die Sendung mit der Maus (German link) is the oldest kids' show on German TV - it first aired in 1971. Its main charm was its unhurried, affirming and positive approach to children's stories and children's questions. Despite multiple makeovers, the basic format remains the same: each episode has animated shorts (Lachgeschichten) and documentaries about everyday things (Sachgeschichten).  But most of all, we children loved the Maus Spots that separated the individual blocks from each other: charming, wordless adventures of a very big, orange mouse and a very small, purple elephant. The best thing is: It's all available online and if your kids are like mine, they will love Mouse and Elephant, too.",The Show with the Mouse,https://www.metafilter.com/174799/The-Show-with-the-Mouse
