favourites,summary,title,url
30 favorites (25 in the past 24 hours),"Mixed-race , queer artist Mojo Juju’s",Native Tongue,https://www.metafilter.com/175308/Native-Tongue
112 favorites (24 in the past 24 hours),"More than white, wheat and rye, there's a glorious world of breads, and for your enjoyment, here's an alphabet of international bread recipes: Aish Merahrah / Bammy / Česnica / Dosa / Eggette / Flatbrød / Green onion pancake / Himbasha / Injera / Johnnycake / Khanom bueang / Lahoh / Mollete / Naan / Obwarzanek krakowski / Potbrood / Qistibi / Rugbrød / Soda bread / Taftan / Unleavened bread / Vienna bread / Watermelon toast / [nothing for X] / Yufka / Zopf . To take away some of the mystery from these links, there are more descriptions (and more recipes, and MORE BREADS) below the break.",Alphabet of international bread recipes (around the world a few times),https://www.metafilter.com/175296/Alphabet-of-international-bread-recipes-around-the-world-a-few-times
22 favorites,,Does it have any Nuka Cola?,https://www.metafilter.com/175324/Does-it-have-any-Nuka-Cola
21 favorites,"In 2005, Metzinger put on a virtual-reality head-mounted display. Inside, he saw his own body, facing away from him, standing in a room. He watched as Lenggenhager stroked its back. Metzinger could feel the stroking, but the body to which it was happening seemed to be situated in front of him. He felt a strange sensation, as though he were drifting in space, or being stretched between the two bodies. He wanted to jump entirely into the body before him, but couldn’t. He seemed marooned outside of himself. It wasn’t quite an out-of-body experience, but it was proof that, using computer technology, the self-model could easily be manipulated. A new area of research had been created: virtual embodiment.
[slnewyorker] [via radiolab",Are We Already Living in Virtual Reality?,https://www.metafilter.com/175311/Are-We-Already-Living-in-Virtual-Reality
20 favorites,"It's summer in the northern hemisphere, which means archaeologists are sharpening their trowels as they embark on fieldwork projects. Here's a few dig diaries to follow along: 

The Ness of Brodgar is the site of a stunning complex of Neolithic buildings in the West Mainland of Orkney. Newgrange Farm excavations are investigating a substantial feature discovered through geophysical investigation in 2015. It's the first excavation to take place at the site for 30 years. Bamburgh Research Project",Dig Diaries,https://www.metafilter.com/175318/Dig-Diaries
20 favorites,"Minnark is a cat who lives in Al Ain with his camel friends, Mr. Buzzer and Mr. Buzzer’s mom. Minnark goes for camel rides and traverses camel necks like a bridge . He gets lots of camel cuddles . When winter ends, he chomps off mom’s winter coat . Minnark and Mr. Buzzer enjoy each others’ tail s. The camels’ food trough is a great place for cat & camel socializing . Sometimes Mr. Buzzer is a pest . One time this happened.
 
(All links are to twitter. Names are from google translate.)",Minnark is a cat who lives in Al Ain with his camel friends,https://www.metafilter.com/175320/Minnark-is-a-cat-who-lives-in-Al-Ain-with-his-camel-friends
17 favorites,Fortnite is the most important video game on the planet. Fortnite is successful like no other game before it for a few reasons. This is interesting even to non-gamers. The NYMag article explains the technical and social reasons for the game's popularity.,Fortnite's Formula for Success,https://www.metafilter.com/175317/Fortnites-Formula-for-Success
16 favorites,"This week marks the 30th anniversary of Die Hard , arguably the greatest action movie of all time. To celebrate, /Film is exploring the film from every angle with a series of articles.","Come Out To The Coast! We’ll Get Together, Have A Few Laughs",https://www.metafilter.com/175310/Come-Out-To-The-Coast-Well-Get-Together-Have-A-Few-Laughs
16 favorites,,"""..if you have small children, keep them the hell away from YouTube.""",https://www.metafilter.com/175315/if-you-have-small-children-keep-them-the-hell-away-from-YouTube
33 favorites (14 in the past 24 hours),Justice Department reopens Emmett Till's murder case,.,https://www.metafilter.com/175304/Reopening-the-Emmett-Till-case
