favourites,summary,title,url
43 favorites,"Teams from Yale, Harvard, and elsewhere recently met up to try recipes recorded on ancient Babylonian tablets, possibly the oldest surviving recipes in the world.

“Having an understanding of what the food is supposed to feel and taste like is very important,” says Lassen. “We didn’t know what we were looking for. When we were recreating one of the recipes I kept thinking they were doing this wrong, ‘this is not how I would make this.’ And then when it had boiled for a while it suddenly transformed itself into something delicious.”","4,000-year-old stew",https://www.metafilter.com/174873/4000-year-old-stew
27 favorites,This Is Where Internet Memes Come From On the Origins of Memes by Means of Fringe Web Communities (arxiv.org) [ PDF ] Researchers Studied 160 Million Memes and Found Most of Them Come From Two Websites,memery,https://www.metafilter.com/174858/memery
27 favorites,"A shelter in Golden Valley, Minnesota is testing out housing for dogs where they can interact with each other, instead of being housed separately. ""Instead of housing animals individually, the new space allows for up to six dogs to live together in a shared room. Each still has their own den, where they rest and eat, but for much of the day they live and mingle with one another in an open play area. And when potential adopters visit, they're more likely to see a dog's true personality.""",Humane society tests group habitat for shelter dogs,https://www.metafilter.com/174863/Humane-society-tests-group-habitat-for-shelter-dogs
34 favorites (26 in the past 24 hours),Unlikely Hikers,Unlikely Hikers,https://www.metafilter.com/174854/Unlikely-Hikers
26 favorites (25 in the past 24 hours),"Who is Wilbur Sargunaraj? He's a world-traveling Simple Superstar out to up your Cultural IQ. Come along as he showcases Tamil village life for NPR, tests out latrines ( eastern , european , african pit , and Airbus A 380-800 varieties), eats Chicago soul food , feels ""genki"" in Tokyo, sings about a chicken dish, cooks an egg on a hot road, learns about sanitary pads and condoms in Uganda, expresses his devotion to love ,  demonstrates how to fly for the first time, experiences an Ethiopian coffee ceremony , and tells us that dark is beautiful .",★ Quality ★ First Class ★,https://www.metafilter.com/174856/-Quality--First-Class-
23 favorites,"Australia's been having a bad week with several high-profile violent assaults on women. An eyebrow-raising police response urging people (women) to 'have situational awareness' and 'be aware of your surroundings' sparked another angry wave of calls nation-wide for the onus to be placed on (cis) men to not assault women. With men asking what they can do, Victoria Against Violence's Call It Out videos (first one was BBQ released two months ago) gains fresh attention with two new videos this week ( Public Transport , Bar ) (links all go to FB)",Lock-in Time,https://www.metafilter.com/174855/Lock-in-Time
20 favorites,The Mahlongwa River needs to be in that Ocean RIGHT NOW! Watch as a tiny trickle turns into a raging torrent.,"Don't play with nature boys, it'll sort you out!",https://www.metafilter.com/174884/Dont-play-with-nature-boys-itll-sort-you-out
18 favorites,"Many chain restaurants have tabletop tablets that let restaurant customers rate their servers. But what happens when you give your waiter 4 stars (""satisfied"") instead of 5 (""highly satisfied"")? Their hours can get cut, and they can be moved to less lucrative roles in the restaurant, which can lower their weekly paycheck by hundreds of dollars. What about when you rate an Uber driver 4 stars? The driver can be put on probation, and eventually deactivated. If the service wasn't perfect, what is the morally right thing for the consumer to do? (Spoiler: You rate drivers 5 stars. Always. Unless they truly, royally suck.) ( previously )",Please give this post five stars or I could be banned,https://www.metafilter.com/174866/Please-give-this-post-five-stars-or-I-could-be-banned
18 favorites,"ShortWaveMusic (2005-2013) was a global sound project and documentary series which aimed to preserve the sound of regional and international broadcasting around the world. Recordings include low-power and community stations, pirate and clandestine transmissions, and traditional international broadcasters.",SHORTWAVEMUSIC,https://www.metafilter.com/174880/SHORTWAVEMUSIC
17 favorites,"When designing a conference, who do you expect to be on stage? What do they need? I was recently set to co-host an event. I wore a cute blue dress that ended just at my knees. This, I soon learned, was a mistake.

My male co-host and I were seated on two tall stools. As he chatted up the audience, the dress slowly crept up my legs. I spent the entire event balanced precariously at the edge of the stool, legs crossed, trying not to move too much so I wouldn’t inadvertently flash the audience. When I thought maybe nobody was looking—which made no sense, since there were only two of us on stage—I lightly tugged my dress down.",Sitting in skirts,https://www.metafilter.com/174883/Sitting-in-skirts
