amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
N/A, ,C,9404249  ,N/A,  ,N/A,5/31/2018,5/31/2018, ,N/A,N,104(a),N/A,N/A,R D Blankenship Dirt Work LLC
116.00 ,000454293,C,9355709  ,Closed,  ,116.00 ,10/25/2017,10/25/2017,1/12/2018 ,116.00,N,104(a),56.12030,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12030.pdf,R D Blankenship Dirt Work LLC
116.00 ,000445513,C,8972659  ,Closed,  ,116.00 ,7/5/2017,7/5/2017,9/24/2017 ,116.00,Y,104(a),56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-4101.pdf,R D Blankenship Dirt Work LLC
100.00 ,000386463,C,8863413  ,Closed,  ,100.00 ,5/19/2015,5/20/2015,8/13/2015 ,100.00,N,104(a),56.4104(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-4104.pdf,R D Blankenship Dirt Work LLC
100.00 ,000386463,C,8863414  ,Closed,  ,100.00 ,5/19/2015,5/19/2015,8/13/2015 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12004.pdf,R D Blankenship Dirt Work LLC
100.00 ,000376371,C,8775655  ,Closed,  ,100.00 ,2/3/2015,2/3/2015,4/15/2015 ,100.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14132.pdf,R D Blankenship Dirt Work LLC
100.00 ,000376371,C,8775659  ,Closed,  ,100.00 ,2/3/2015,2/4/2015,4/15/2015 ,100.00,Y,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14107.pdf,R D Blankenship Dirt Work LLC
108.00 ,000376371,C,8775657  ,Closed,  ,108.00 ,2/3/2015,2/3/2015,4/15/2015 ,108.00,Y,104(a),56.11001,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-11001.pdf,R D Blankenship Dirt Work LLC
100.00 ,000376371,C,8775656  ,Closed,  ,100.00 ,2/3/2015,2/3/2015,4/15/2015 ,100.00,Y,104(a),56.14100(c),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14100.pdf,R D Blankenship Dirt Work LLC
100.00 ,000376371,C,8775658  ,Closed,  ,100.00 ,2/3/2015,2/3/2015,4/15/2015 ,100.00,Y,104(a),56.14112(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14112.pdf,R D Blankenship Dirt Work LLC
100.00 ,000361289,C,8774787  ,Closed,  ,100.00 ,7/31/2014,7/31/2014,10/15/2014 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-12004.pdf,R D Blankenship Dirt Work LLC
100.00 ,000350605,C,8768449  ,Closed,  ,100.00 ,3/11/2014,3/11/2014,6/14/2014 ,100.00,N,104(a),56.12018,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-12018.pdf,R D Blankenship Dirt Work LLC
100.00 ,000350605,C,8768450  ,Closed,  ,100.00 ,3/11/2014,3/13/2014,6/14/2014 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14107.pdf,R D Blankenship Dirt Work LLC
