amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
118.00 ,000456512,C,8947442  ,Closed,  ,118.00 ,11/14/2017,11/15/2017,2/23/2018 ,118.00,N,104(a),56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-1000.pdf,Vogt Dirt Service
100.00 ,000414930,C,8889828  ,Closed,  ,100.00 ,5/31/2016,5/31/2016,9/9/2016 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec50-30.pdf,Vogt Dirt Service
263.00 ,000414930,C,8889823  ,Closed,  ,263.00 ,5/31/2016,5/31/2016,9/9/2016 ,263.00,Y,104(a),56.14206(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14206.pdf,Vogt Dirt Service
100.00 ,000414930,C,8889824  ,Closed,  ,100.00 ,5/31/2016,5/31/2016,9/9/2016 ,100.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,Vogt Dirt Service
100.00 ,000414930,C,8889826  ,Closed,  ,100.00 ,5/31/2016,6/1/2016,9/9/2016 ,100.00,N,104(a),56.4201(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4201.pdf,Vogt Dirt Service
100.00 ,000414930,C,8889827  ,Closed,  ,100.00 ,5/31/2016,5/31/2016,9/9/2016 ,100.00,N,104(a),50.30(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec50-30.pdf,Vogt Dirt Service
300.00 ,000417217,C,8889825  ,Closed,  ,300.00 ,5/31/2016,5/31/2016,10/14/2016 ,300.00,Y,104(a),56.14101(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14101.pdf,Vogt Dirt Service
100.00 ,000394130,C,8848699  ,Closed,  ,100.00 ,6/29/2015,7/16/2015,11/13/2015 ,100.00,N,104(a),56.14101(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14101.pdf,Vogt Dirt Service
100.00 ,000388869,C,8848697  ,Closed,  ,100.00 ,6/29/2015,7/16/2015,9/16/2015 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14107.pdf,Vogt Dirt Service
243.00 ,000388869,C,8848700  ,Closed,  ,243.00 ,6/29/2015,7/16/2015,9/16/2015 ,243.00,Y,104(a),56.14103(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14103.pdf,Vogt Dirt Service
