amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
100.00 ,000291395,C,8657164  ,Closed,  ,100.00 ,5/1/2012,5/2/2012,7/25/2012 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,Sunshine Reclamation Inc.
108.00 ,000291395,C,8657165  ,Closed,  ,108.00 ,5/1/2012,5/1/2012,7/25/2012 ,108.00,Y,104(a),56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-9300.pdf,Sunshine Reclamation Inc.
585.00 ,000242289,C,8580031  ,Closed,J392 ,585.00 ,10/27/2010,10/27/2010,1/30/2011 ,585.00,Y,104(a),56.14100(d),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Dirt Con
585.00 ,000242289,C,8580030  ,Closed,J392 ,585.00 ,10/27/2010,10/27/2010,1/30/2011 ,585.00,Y,104(a),56.14100(c),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Dirt Con
"1,944.00 ",000252992,C,8580026  ,Closed,J392 ,"1,944.00 ",10/26/2010,10/26/2010,5/28/2011 ,"1,944.00",Y,104(a),56.14207,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14207.pdf,Dirt Con
176.00 ,000239419,C,8580027  ,Closed,J392 ,176.00 ,10/26/2010,10/27/2010,1/2/2011 ,176.00,Y,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Dirt Con
100.00 ,000239419,C,8580025  ,Closed,J392 ,100.00 ,10/26/2010,10/27/2010,1/2/2011 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Dirt Con
585.00 ,000239419,C,8580028  ,Closed,J392 ,585.00 ,10/26/2010,10/26/2010,1/2/2011 ,585.00,Y,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14132.pdf,Dirt Con
362.00 ,000240535,C,8580029  ,Closed,  ,362.00 ,10/26/2010,10/26/2010,1/13/2011 ,362.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14132.pdf,Sunshine Reclamation Inc.
176.00 ,000239419,C,8580024  ,Closed,J392 ,176.00 ,10/26/2010,10/27/2010,1/2/2011 ,176.00,Y,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Dirt Con
